NameMonthYear,Year,Month_Year,Account_ID,Account_Type,Package,Customer_Demographics_Income,Customer_Demographics_Marital_Status,Customer_Demographics_Education,Number_of_Deposits_Credits,Number_of_Debits,Bill_Payments,Cash_Withdrawals,Point_of_sale_Transactions,Total_Value_of_Debits,Deposits_Made_During_The_Month_Credits,Total_Service_Charges,Total_Balance_at_Month_End,Number_of_Transactions
May-2023,2023,2023-05-17,671,Chequing,Bronze,Low Income,Divorced,High School Graduate,5,629,$413.00,934.12,$129.00,"$43,779.98","$41,324.15",$81.27,849.22,180
May-2023,2023,2023-05-18,522,Savings,Silver,Medium Income,Single,College Degree,925,380,$137.00,1445.04,$255.00,"$23,921.42","$27,566.64",$67.95,4535.23,280
May-2023,2023,2023-05-18,428,Savings,Bronze,Medium Income,Single,High School Graduate,558,840,$251.00,1475.33,$48.00,"$43,503.01","$44,000.25",$89.38,5521,680
May-2023,2023,2023-05-18,310,Chequing,Silver,Medium Income,Single,Master's Degree,815,814,$912.00,262.18,$906.00,"$40,353.99","$33,761.52",$72.41,4692.05,647
May-2023,2023,2023-05-18,55,Savings,Gold,Medium Income,Single,College Degree,472,783,$145.00,161.13,$558.00,"$25,036.90","$24,361.20",$106.91,702.04,33
May-2023,2023,2023-05-19,138,Savings,Gold,Medium Income,Single,College Degree,549,225,$987.00,108.23,$776.00,"$3,480.90","$26,336.92",$33.02,8140.38,589
May-2023,2023,2023-05-19,255,Chequing,Silver,Medium Income,Married,College Degree,299,60,$608.00,730.46,$249.00,"$24,398.00","$31,607.37",$90.70,5137.45,483
May-2023,2023,2023-05-19,991,Savings,Silver,High Income,Divorced,Master's Degree,933,143,$434.00,1463.39,$534.00,"$32,284.08","$1,766.59",$87.71,2674.73,142
May-2023,2023,2023-05-20,754,Savings,Gold,Medium Income,Married,Master's Degree,118,717,$96.00,469.79,$132.00,"$22,673.06","$41,407.76",$130.80,3494.11,328
May-2023,2023,2023-05-20,317,Chequing,Gold,Medium Income,Single,Master's Degree,782,318,$37.00,1312.06,$69.00,"$27,723.13","$24,040.78",$121.71,3029.69,439
May-2023,2023,2023-05-20,384,Savings,Gold,Low Income,Married,Some College,753,670,$154.00,486.7,$685.00,"$5,721.30","$28,512.56",$143.66,1794.86,4
May-2023,2023,2023-05-20,395,Savings,Bronze,Low Income,Divorced,High School Graduate,548,47,$554.00,2017.12,$69.00,"$35,819.94","$24,114.82",$136.97,2812.07,910
May-2023,2023,2023-05-21,429,Savings,Gold,Low Income,Divorced,College Degree,658,29,$558.00,2167.59,$542.00,"$19,912.59","$14,076.26",$38.90,6705.42,872
May-2023,2023,2023-05-22,265,Chequing,Bronze,Medium Income,Divorced,High School Graduate,30,772,$550.00,1450.76,$32.00,"$41,994.55","$29,624.59",$93.99,563.93,900
May-2023,2023,2023-05-22,145,Savings,Bronze,Medium Income,Divorced,College Degree,767,515,$160.00,555.26,$706.00,"$37,592.95","$13,121.37",$73.44,226.88,793
May-2023,2023,2023-05-22,972,Savings,Bronze,Low Income,Single,College Degree,908,148,$437.00,185.32,$201.00,"$23,946.05","$11,022.18",$50.91,3333.73,173
May-2023,2023,2023-05-23,600,Savings,Gold,Low Income,Single,Master's Degree,264,770,$560.00,980.11,$715.00,"$10,071.92","$8,683.90",$13.61,9708.79,122
May-2023,2023,2023-05-23,51,Savings,Bronze,Medium Income,Divorced,High School Graduate,294,148,$883.00,2113.03,$734.00,"$1,976.85","$16,135.29",$127.08,3267.8,26
May-2023,2023,2023-05-23,504,Chequing,Silver,Medium Income,Married,High School Graduate,701,824,$657.00,2430.36,$27.00,"$35,761.21","$48,267.82",$112.76,9331.75,397
May-2023,2023,2023-05-25,277,Savings,Bronze,High Income,Married,Master's Degree,158,106,$174.00,2415.08,$928.00,"$13,244.08","$26,730.37",$111.60,8204.95,177
May-2023,2023,2023-05-25,849,Chequing,Gold,High Income,Married,Some College,742,513,$102.00,2411.89,$420.00,"$9,324.32","$38,694.15",$36.86,3307.9,777
May-2023,2023,2023-05-25,886,Savings,Silver,Low Income,Married,High School Graduate,184,974,$332.00,923.93,$952.00,"$39,530.79","$27,435.40",$144.78,2429.24,602
May-2023,2023,2023-05-26,91,Chequing,Bronze,Low Income,Divorced,College Degree,137,428,$265.00,2354.71,$727.00,"$3,575.29","$5,560.18",$55.22,4139.1,410
May-2023,2023,2023-05-26,375,Savings,Gold,High Income,Married,Master's Degree,167,283,$184.00,1644.82,$127.00,"$14,211.33","$14,057.02",$53.40,4236.42,138
May-2023,2023,2023-05-27,40,Chequing,Bronze,Low Income,Married,Some College,374,531,$327.00,807.69,$96.00,"$35,602.61","$5,435.85",$20.03,340.3,168
May-2023,2023,2023-05-27,935,Chequing,Bronze,Medium Income,Married,High School Graduate,345,635,$186.00,338.14,$581.00,"$8,568.09","$46,789.66",$143.53,4905.65,958
May-2023,2023,2023-05-27,765,Chequing,Bronze,Medium Income,Single,High School Graduate,963,617,$796.00,1478.43,$407.00,"$4,892.77","$49,288.71",$138.03,8325.6,447
May-2023,2023,2023-05-28,92,Savings,Gold,Medium Income,Divorced,College Degree,342,255,$981.00,1658.35,$345.00,"$4,860.00","$45,015.43",$66.98,4520.52,355
May-2023,2023,2023-05-28,261,Chequing,Bronze,High Income,Single,Master's Degree,5,891,$143.00,1107.88,$841.00,"$24,770.89","$12,936.74",$148.62,3679.42,875
May-2023,2023,2023-05-28,309,Chequing,Silver,Low Income,Divorced,Some College,78,689,$376.00,899.7,$247.00,"$39,054.72","$13,595.54",$125.12,8576.2,199
May-2023,2023,2023-05-29,322,Chequing,Bronze,High Income,Married,College Degree,660,547,$572.00,2684.37,$2.00,"$27,935.52","$21,320.41",$83.64,3665.36,885
May-2023,2023,2023-05-29,444,Chequing,Bronze,Low Income,Divorced,High School Graduate,524,315,$871.00,2858.83,$372.00,"$20,753.60","$44,652.79",$75.51,8283.71,728
May-2023,2023,2023-05-29,269,Chequing,Bronze,Medium Income,Single,College Degree,303,254,$24.00,223.44,$455.00,"$8,182.21","$22,777.94",$117.16,8571.94,576
May-2023,2023,2023-05-29,212,Savings,Bronze,Medium Income,Divorced,College Degree,986,732,$891.00,871.46,$686.00,"$43,254.08","$8,683.40",$22.30,7606.49,353
May-2023,2023,2023-05-29,135,Savings,Bronze,High Income,Divorced,High School Graduate,388,649,$698.00,1804.4,$956.00,"$11,333.16","$48,431.96",$94.35,5350.24,525
May-2023,2023,2023-05-30,279,Chequing,Gold,Medium Income,Married,College Degree,379,915,$204.00,373.22,$898.00,"$12,225.79","$37,072.19",$123.42,189.9,326
May-2023,2023,2023-05-31,588,Chequing,Silver,High Income,Married,Master's Degree,593,276,$740.00,2414.61,$883.00,"$42,154.98","$39,985.81",$101.67,9222.71,545
May-2023,2023,2023-05-31,688,Savings,Bronze,High Income,Married,Master's Degree,134,35,$7.00,2468.19,$448.00,"$17,429.47","$23,459.83",$98.24,1964.11,547
May-2023,2023,2023-05-31,870,Savings,Bronze,High Income,Single,Some College,873,869,$953.00,1825.11,$725.00,"$48,113.15","$6,257.64",$31.25,3948.56,971
May-2023,2023,2023-05-31,908,Savings,Silver,Medium Income,Divorced,High School Graduate,157,657,$742.00,1022.4,$425.00,"$30,782.59","$17,335.03",$19.96,1294.65,65
June-2023,2023,2023-06-01,591,Chequing,Silver,High Income,Married,High School Graduate,340,450,$132.00,1992.52,$994.00,"$40,011.95","$35,283.94",$98.67,8753.3,993
June-2023,2023,2023-06-01,195,Chequing,Silver,Low Income,Divorced,Some College,595,56,$380.00,586.36,$264.00,"$4,483.70","$14,986.93",$121.59,5393.3,49
June-2023,2023,2023-06-01,351,Savings,Bronze,High Income,Divorced,College Degree,867,953,$981.00,183.39,$826.00,"$38,052.62","$29,127.50",$9.74,9733.34,620
June-2023,2023,2023-06-02,324,Savings,Bronze,Low Income,Divorced,High School Graduate,625,601,$685.00,737.92,$832.00,"$21,662.20","$8,599.31",$55.53,6332.65,809
June-2023,2023,2023-06-02,333,Savings,Bronze,High Income,Married,Master's Degree,697,264,$870.00,1890.74,$20.00,"$32,029.10","$43,037.67",$126.60,3189.82,519
June-2023,2023,2023-06-02,109,Savings,Silver,Medium Income,Single,High School Graduate,308,645,$241.00,1444.97,$512.00,"$36,283.52","$21,388.88",$11.46,3019.45,885
June-2023,2023,2023-06-02,984,Savings,Bronze,Low Income,Divorced,High School Graduate,993,59,$550.00,1843.06,$467.00,"$48,139.37","$8,014.20",$46.45,8918.47,402
June-2023,2023,2023-06-03,104,Chequing,Gold,Low Income,Single,Some College,861,193,$770.00,1049.27,$885.00,"$11,759.41","$35,459.97",$62.41,9445.9,929
June-2023,2023,2023-06-03,342,Chequing,Gold,Low Income,Married,Some College,915,721,$772.00,977.75,$899.00,"$46,526.74","$33,306.70",$82.24,2391.69,701
June-2023,2023,2023-06-03,369,Chequing,Bronze,Medium Income,Married,Some College,679,844,$385.00,2838.79,$819.00,"$48,631.78","$41,067.91",$95.44,4808.93,44
June-2023,2023,2023-06-03,546,Savings,Silver,Medium Income,Married,College Degree,18,892,$30.00,1809.54,$363.00,"$14,683.95","$35,920.40",$41.63,1857.84,821
June-2023,2023,2023-06-04,450,Savings,Gold,High Income,Single,College Degree,466,337,$509.00,2944.03,$763.00,"$37,405.43","$11,587.95",$123.04,4919.18,935
June-2023,2023,2023-06-04,938,Chequing,Silver,Medium Income,Married,Master's Degree,599,104,$997.00,1197.87,$82.00,"$14,211.13","$46,641.36",$107.63,3400.42,780
June-2023,2023,2023-06-04,728,Savings,Gold,Low Income,Married,Master's Degree,323,796,$86.00,2879.64,$268.00,"$46,622.27","$1,828.27",$40.53,9297.91,305
June-2023,2023,2023-06-04,732,Chequing,Silver,Low Income,Married,Some College,191,171,$722.00,2302.54,$386.00,"$42,527.22","$25,952.74",$54.58,995.22,517
June-2023,2023,2023-06-04,800,Savings,Silver,High Income,Married,High School Graduate,474,768,$894.00,2462.57,$416.00,"$13,600.96","$24,156.95",$29.29,6036.93,425
June-2023,2023,2023-06-05,685,Chequing,Bronze,High Income,Single,Some College,415,654,$828.00,2434.43,$770.00,$524.63,"$7,394.78",$71.78,433.48,435
June-2023,2023,2023-06-05,26,Savings,Gold,Low Income,Single,High School Graduate,773,982,$750.00,561.75,$25.00,"$42,379.64","$23,216.28",$17.46,6385.73,673
June-2023,2023,2023-06-05,274,Chequing,Gold,Medium Income,Married,High School Graduate,939,26,$126.00,2388.51,$549.00,"$9,990.69","$30,008.15",$115.02,645.44,841
June-2023,2023,2023-06-06,152,Chequing,Gold,High Income,Married,High School Graduate,87,58,$877.00,1640.55,$437.00,"$44,762.56","$34,672.07",$74.15,1298.42,882
June-2023,2023,2023-06-06,97,Chequing,Silver,High Income,Single,Master's Degree,228,624,$299.00,2503.21,$946.00,"$17,210.17","$33,203.59",$39.68,9687.05,933
June-2023,2023,2023-06-06,551,Chequing,Bronze,Low Income,Married,Some College,912,465,$441.00,2793.38,$615.00,"$22,986.31","$30,622.65",$111.15,4750.53,54
June-2023,2023,2023-06-06,500,Savings,Silver,Medium Income,Divorced,High School Graduate,60,134,$776.00,2360.59,$337.00,"$11,038.03","$11,492.25",$71.32,1099.85,542
June-2023,2023,2023-06-06,629,Savings,Gold,Medium Income,Single,College Degree,690,936,$879.00,923.03,$312.00,"$34,606.99","$35,377.76",$137.81,6968.61,402
June-2023,2023,2023-06-06,946,Chequing,Bronze,High Income,Divorced,Master's Degree,408,401,$942.00,455.95,$689.00,"$33,166.25","$26,144.62",$49.26,5601.62,706
June-2023,2023,2023-06-07,981,Chequing,Bronze,Low Income,Single,College Degree,994,513,$393.00,151.66,$173.00,"$29,751.48","$6,882.50",$46.27,2050.35,369
June-2023,2023,2023-06-07,325,Chequing,Silver,High Income,Married,College Degree,268,819,$794.00,578.88,$867.00,"$33,079.81","$3,725.50",$6.70,8727.06,7
June-2023,2023,2023-06-08,786,Savings,Bronze,Medium Income,Married,High School Graduate,935,812,$668.00,2340.15,$537.00,"$10,580.13","$25,337.55",$108.87,2518.84,404
June-2023,2023,2023-06-08,778,Chequing,Bronze,Medium Income,Single,High School Graduate,711,38,$181.00,2172.42,$577.00,"$9,576.43","$22,505.57",$110.66,5506.81,202
June-2023,2023,2023-06-08,726,Chequing,Gold,Medium Income,Divorced,Some College,665,8,$398.00,1748.3,$673.00,"$10,748.94","$36,884.48",$23.71,940.82,867
June-2023,2023,2023-06-09,811,Chequing,Gold,High Income,Married,College Degree,562,298,$217.00,1016.33,$532.00,"$29,061.44","$34,714.71",$84.76,5303.29,206
June-2023,2023,2023-06-09,873,Savings,Silver,Medium Income,Single,Master's Degree,437,816,$505.00,129.66,$161.00,"$14,235.59","$3,688.56",$129.89,1183.21,278
June-2023,2023,2023-06-09,38,Savings,Gold,Low Income,Married,High School Graduate,64,870,$610.00,2037.18,$463.00,"$48,117.95","$37,492.33",$32.45,2380.56,529
June-2023,2023,2023-06-09,177,Savings,Bronze,Medium Income,Married,Master's Degree,835,843,$940.00,122.08,$52.00,"$32,250.68","$35,195.52",$103.48,5001.8,755
June-2023,2023,2023-06-09,178,Chequing,Silver,High Income,Divorced,Master's Degree,308,810,$110.00,2227.43,$640.00,"$14,510.51","$39,195.52",$93.57,1144.51,107
June-2023,2023,2023-06-10,225,Savings,Bronze,Medium Income,Married,College Degree,734,319,$994.00,349.75,$576.00,"$36,707.01","$6,281.01",$9.17,5465.74,513
June-2023,2023,2023-06-10,884,Chequing,Silver,High Income,Married,College Degree,767,828,$234.00,711.58,$52.00,"$36,041.69","$17,126.25",$50.97,159.82,986
June-2023,2023,2023-06-10,723,Savings,Bronze,High Income,Married,High School Graduate,559,903,$702.00,430.94,$702.00,"$42,182.27","$32,309.32",$44.56,226.2,312
June-2023,2023,2023-06-10,724,Chequing,Gold,High Income,Married,High School Graduate,546,540,$257.00,1257.72,$910.00,"$46,449.11","$13,463.37",$28.65,4928.67,180
June-2023,2023,2023-06-10,776,Savings,Gold,High Income,Married,High School Graduate,433,39,$61.00,780.92,$811.00,"$34,712.55","$14,389.95",$132.32,2401.13,396
June-2023,2023,2023-06-10,674,Chequing,Silver,Low Income,Divorced,College Degree,269,719,$679.00,124.12,$306.00,"$42,894.66",$959.15,$82.64,9745.31,453
June-2023,2023,2023-06-11,755,Savings,Gold,Medium Income,Married,College Degree,607,748,$86.00,1570.77,$579.00,"$21,925.76","$6,820.23",$46.51,3924.8,211
June-2023,2023,2023-06-12,898,Savings,Silver,High Income,Divorced,High School Graduate,472,562,$886.00,296.37,$789.00,"$45,954.17","$31,384.88",$93.91,4520.25,17
June-2023,2023,2023-06-12,273,Chequing,Gold,Low Income,Married,Master's Degree,23,11,$891.00,1252.85,$928.00,"$39,317.45","$16,409.02",$148.03,9175.18,400
June-2023,2023,2023-06-12,266,Chequing,Gold,Medium Income,Single,College Degree,782,989,$743.00,833.7,$259.00,"$44,481.93","$18,893.68",$76.82,6797.99,140
June-2023,2023,2023-06-12,189,Savings,Gold,Low Income,Married,Master's Degree,600,704,$831.00,2148.23,$501.00,"$21,211.77","$42,652.23",$16.06,3007.7,986
